"id","alias","categories","image_url","name","phone","price","rating","review_count","url","x","y"
"-5-DfKvLyi9c4fifomXv2A","victoire-et-thomas-lyon-2","{""Wine Bars"",French}","https://s3-media1.fl.yelpcdn.com/bphoto/KB0pEXuyYq2i4R8GdsAgMA/o.jpg","Victoire et Thomas","+33481118619","€€€",4,9,"https://www.yelp.com/biz/victoire-et-thomas-lyon-2?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.77,4.84
"-51joYGDoUQcAQ0d24jJfg","la-grenade-lyon","{Mediterranean}","https://s3-media1.fl.yelpcdn.com/bphoto/HIotpBVkR-vTlYQXEreIJQ/o.jpg","La Grenade","+33478724738",NULL,4.5,2,"https://www.yelp.com/biz/la-grenade-lyon?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.77,4.84
"-AA3PUALwZ7v_TpXwB47zA","le-rive-gauche-lyon","{Brasseries}","https://s3-media3.fl.yelpcdn.com/bphoto/1jI2ReLdSQRsFhMjFmUusg/o.jpg","Le Rive Gauche","+33478895121","€€€",3.5,35,"https://www.yelp.com/biz/le-rive-gauche-lyon?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.77,4.85
"-CTDbDRzFnpkdNiFxdeXEQ","phyllo-lyon","{""Fast Food""}","https://s3-media3.fl.yelpcdn.com/bphoto/yRPFm5wdxkZPydo6UWHzrw/o.jpg","Phyllo","","€",4,6,"https://www.yelp.com/biz/phyllo-lyon?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.75,4.83
"-DvnjpU9ImuH1kADUHCihQ","le-comptoir-des-marronniers-lyon-3","{Bistros}","https://s3-media2.fl.yelpcdn.com/bphoto/50aq6xjeyUzHzprX5aAVmw/o.jpg","Le Comptoir des Marronniers","+33472771000","€€€",3.5,40,"https://www.yelp.com/biz/le-comptoir-des-marronniers-lyon-3?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.76,4.83
"-GPrTG8OmZHtsltif_gfxQ","chères-cousines-lyon-7","{Bagels,""Patisserie/Cake Shop"",Salad}","https://s3-media3.fl.yelpcdn.com/bphoto/VDuZSKpcdAXEIDKnUNwY8Q/o.jpg","Chères Cousines","+33478520329","€",4,31,"https://www.yelp.com/biz/ch%C3%A8res-cousines-lyon-7?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.77,4.84
"-TPCwBsL86hsibqZfpGggg","le-passage-lyon-4","{""Wine Bars"",French}","https://s3-media1.fl.yelpcdn.com/bphoto/pvtAD55cksSJeCNPXnAgww/o.jpg","Le Passage","+33478281116","€€€",4,52,"https://www.yelp.com/biz/le-passage-lyon-4?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.77,4.83
"-TrYq43zGViouKfgHOq5YA","le-théodore-lyon-5","{Brasseries}","https://s3-media2.fl.yelpcdn.com/bphoto/VpVG7JPiZQ4vm42SZofSbA/o.jpg","Le Théodore","+33478240852","€€€",3.5,28,"https://www.yelp.com/biz/le-th%C3%A9odore-lyon-5?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.77,4.85
"-VWkwrdHhBSJX3CK4s40XA","bollywood-tandoor-lyon","{Indian}","https://s3-media2.fl.yelpcdn.com/bphoto/c5uy1X9vbtaKlp9JB6XzjA/o.jpg","Bollywood Tandoor","+33472704907","€€",4.5,68,"https://www.yelp.com/biz/bollywood-tandoor-lyon?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.75,4.84
"-XyIdQDFBypZ_gqbFiT7PA","l-authentique-lyon-2","{French}","https://s3-media3.fl.yelpcdn.com/bphoto/n36uWLQD33eu67W4GTErCQ/o.jpg","l'Authentique","+33478757361","€€",4,9,"https://www.yelp.com/biz/l-authentique-lyon-2?adjust_creative=4sPdTM4nhxt3QAyGNt3_Dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4sPdTM4nhxt3QAyGNt3_Dg",45.75,4.86
